iter	Passed	Remaining
0	1	128
1	2	114
2	3	107
3	4	98
4	5	98
5	6	96
6	7	94
7	7	91
8	8	88
9	9	85
10	10	82
11	11	80
12	11	78
13	12	76
14	13	74
15	13	72
16	14	71
17	15	69
18	16	68
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	21	58
27	22	57
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	46
40	32	46
41	32	44
42	33	43
43	33	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
